"","Common_Nam","Life_Stage","Stream Nam","M","Y","Data_Sourc","Full_citat","Latitude","Longitude","Lake","glacier","slope","S1e","S30e","S32e","OBSPRED_ID","FTYPE","WATERBODY","TAILWATER","ELEV","CANOPY","PRECIP","BFI","S1_93_11","S30_2040D","S32_2080D","GNIS_NAME"
"1","Rocky Mountain Tailed Frog","Mature","NA",8,2007,"IDFG 2022",NA,48.318475,-116.244328,0,-9999,0.11409,0,0,0,141769,"StreamRiver",0,0,1043.78,90.28,1974.403,68,9.04,10.22,11.08,"Trestle Creek"
"2","Rocky Mountain Tailed Frog","Mature","NA",8,2008,"IDFG 2022",NA,47.232572,-116.337624,0,-9999,0.06543,0,0,0,119071,"StreamRiver",0,0,1030.08,90.3,1023.862,58,11.61,12.89,13.82,NA
"3","Rocky Mountain Tailed Frog","Larva","NA",8,2008,"IDFG 2022",NA,47.232572,-116.337624,0,-9999,0.06543,0,0,0,119071,"StreamRiver",0,0,1030.08,90.3,1023.862,58,11.61,12.89,13.82,NA
"4","Rocky Mountain Tailed Frog","Mature","NA",6,2003,"IDFG 2022",NA,46.312018,-115.365531,0,-9999,0.16704,0,0,0,108154,"StreamRiver",0,0,600.92,11.04,1124.18,66,14.2,15.88,17.09,"Otter Slide Creek"
"5","Rocky Mountain Tailed Frog","Larva","NA",6,2003,"IDFG 2022",NA,46.615929,-114.673536,0,-9999,0.02085,0,0,0,112018,"StreamRiver",0,0,1374.36,94.67,1420.255,69,11.39,12.95,14.08,"Boulder Creek"
"6","Rocky Mountain Tailed Frog","Mature","NA",6,2003,"IDFG 2022",NA,46.615929,-114.673536,0,-9999,0.02085,0,0,0,112018,"StreamRiver",0,0,1374.36,94.67,1420.255,69,11.39,12.95,14.08,"Boulder Creek"
"7","Rocky Mountain Tailed Frog","Mature","NA",7,2003,"IDFG 2022",NA,46.562766,-115.62251,0,-9999,0.03165,0,0,0,111326,"StreamRiver",0,0,1005.41,49.34,1489.33,66,12.13,13.72,14.88,"French Creek"
"8","Rocky Mountain Tailed Frog","Mature","NA",7,2003,"IDFG 2022",NA,46.804882,-115.445733,0,-9999,0.03748,0,0,0,114281,"StreamRiver",0,0,595.84,23.54,1144.357,70,13.85,15.52,16.73,"Quartz Creek"
"9","Rocky Mountain Tailed Frog","Mature","NA",7,2003,"IDFG 2022",NA,46.862326,-115.433988,0,-9999,0.02226,0,0,0,115110,"StreamRiver",0,0,706.01,34.32,1007.959,70,14.1,15.78,16.99,"Collins Creek"
"10","Rocky Mountain Tailed Frog","Mature","NA",7,2003,"IDFG 2022",NA,47.228374,-115.709298,0,-9999,0.02229,0,0,0,118742,"StreamRiver",0,0,792.05,57.27,1054.34,67,13.35,14.7,15.68,"Saint Joe River"
"11","Rocky Mountain Tailed Frog","Mature","NA",7,2003,"IDFG 2022",NA,45.708149,-114.716249,0,-9999,0.02574,0,0,0,100767,"StreamRiver",0,0,1252.6,56.42,592.3834,70,14.15,15.83,17.04,"Deep Creek"
"12","Rocky Mountain Tailed Frog","Larva","NA",7,2003,"IDFG 2022",NA,45.749222,-114.781582,0,-9999,0.03915,0,0,0,101012,"StreamRiver",0,0,1130.74,64.14,692.4927,70,12.69,14.32,15.48,"Little Clearwater River"
"13","Rocky Mountain Tailed Frog","Mature","NA",7,2003,"IDFG 2022",NA,45.749222,-114.781582,0,-9999,0.03915,0,0,0,101012,"StreamRiver",0,0,1130.74,64.14,692.4927,70,12.69,14.32,15.48,"Little Clearwater River"
"14","Rocky Mountain Tailed Frog","Mature","NA",7,2003,"IDFG 2022",NA,46.068576,-115.363644,0,-9999,0,0,0,0,104482,"StreamRiver",0,0,498.81,26.22,888.96,69,18.7,20.56,21.91,"Selway River"
"15","Rocky Mountain Tailed Frog","Mature","NA",7,2003,"IDFG 2022",NA,46.085217,-115.494778,0,-9999,0.08328,0,0,0,104942,"StreamRiver",0,0,496.3,56.9,952.0455,68,14.94,16.66,17.89,"Rackliff Creek"
"16","Rocky Mountain Tailed Frog","Larva","NA",8,2003,"IDFG 2022",NA,44.89014,-115.705069,0,-9999,0.06889,0,0,0,110007,"StreamRiver",0,0,1262.8,60.18,649.601,68,11.21,12.5,13.33,"Camp Creek"
"17","Rocky Mountain Tailed Frog","Mature","NA",8,2003,"IDFG 2022",NA,45.132175,-116.164505,0,-9999,0.08287,0,0,0,113306,"StreamRiver",0,0,2000.98,12.78,1402.69,62,10.21,11.46,12.28,"East Fork Corral Creek"
"18","Rocky Mountain Tailed Frog","Larva","NA",8,2003,"IDFG 2022",NA,45.132175,-116.164505,0,-9999,0.08287,0,0,0,113306,"StreamRiver",0,0,2000.98,12.78,1402.69,62,10.21,11.46,12.28,"East Fork Corral Creek"
"19","Rocky Mountain Tailed Frog","Larva","NA",8,2003,"IDFG 2022",NA,44.984235,-115.955431,0,-9999,0.02383,0,0,0,159345,"StreamRiver",0,0,1704.73,52.1,1220.62,63,11.51,12.64,13.35,"North Fork Lake Fork"
"20","Rocky Mountain Tailed Frog","Mature","NA",8,2003,"IDFG 2022",NA,44.984235,-115.955431,0,-9999,0.02383,0,0,0,159345,"StreamRiver",0,0,1704.73,52.1,1220.62,63,11.51,12.64,13.35,"North Fork Lake Fork"
"21","Rocky Mountain Tailed Frog","Larva","NA",8,2003,"IDFG 2022",NA,45.100276,-116.034883,0,-9999,0.02344,0,0,0,160774,"StreamRiver",0,0,1682.57,57.72,1348.409,63,14.87,16.08,16.84,"North Fork Payette River"
"22","Rocky Mountain Tailed Frog","Mature","NA",8,2003,"IDFG 2022",NA,45.100276,-116.034883,0,-9999,0.02344,0,0,0,160774,"StreamRiver",0,0,1682.57,57.72,1348.409,63,14.87,16.08,16.84,"North Fork Payette River"
"23","Rocky Mountain Tailed Frog","Larva","NA",7,2003,"IDFG 2022",NA,47.228374,-115.709298,0,-9999,0.02229,0,0,0,118742,"StreamRiver",0,0,792.05,57.27,1054.34,67,13.35,14.7,15.68,"Saint Joe River"
"24","Rocky Mountain Tailed Frog","Larva","NA",7,2003,"IDFG 2022",NA,47.248508,-115.941841,0,-9999,0.07277,0,0,0,119229,"StreamRiver",0,0,743.07,60.16,1011.848,67,13.28,14.63,15.61,"Burton Creek"
"25","Rocky Mountain Tailed Frog","Mature","NA",7,2003,"IDFG 2022",NA,47.248508,-115.941841,0,-9999,0.07277,0,0,0,119229,"StreamRiver",0,0,743.07,60.16,1011.848,67,13.28,14.63,15.61,"Burton Creek"
"26","Rocky Mountain Tailed Frog","Mature","NA",7,2003,"IDFG 2022",NA,47.248176,-115.945695,0,-9999,0,0,0,0,119373,"StreamRiver",0,0,717.87,17.8,994.4085,67,16.61,18.09,19.17,"Saint Joe River"
"27","Rocky Mountain Tailed Frog","Mature","NA",7,2003,"IDFG 2022",NA,47.212295,-116.04132,0,-9999,0.01921,0,0,0,118448,"StreamRiver",0,0,801.85,48.98,972.1205,67,13.81,15.18,16.18,"Marble Creek"
"28","Rocky Mountain Tailed Frog","Mature","NA",7,2003,"IDFG 2022",NA,46.891592,-115.870386,0,-9999,0.00579,0,0,0,115421,"StreamRiver",0,0,492.35,50.84,846.8787,64,15.03,16.74,17.98,"Little North Fork Clearwater River"
"29","Rocky Mountain Tailed Frog","Larva","NA",7,2003,"IDFG 2022",NA,46.887231,-115.954337,0,-9999,0.02108,0,0,0,115270,"StreamRiver",0,0,537,64.05,873.0295,63,14.4,16.09,17.31,"Breakfast Creek"
"30","Rocky Mountain Tailed Frog","Mature","NA",7,2003,"IDFG 2022",NA,46.887231,-115.954337,0,-9999,0.02108,0,0,0,115270,"StreamRiver",0,0,537,64.05,873.0295,63,14.4,16.09,17.31,"Breakfast Creek"
"31","Rocky Mountain Tailed Frog","Larva","NA",7,2003,"IDFG 2022",NA,47.032836,-116.674014,0,0,0.02094,0,0,0,116316,"StreamRiver",0,0,895.56,74.81,902.0143,46,13.07,14.47,15.4,"Mannering Creek"
"32","Rocky Mountain Tailed Frog","Mature","NA",7,2003,"IDFG 2022",NA,47.032836,-116.674014,0,0,0.02094,0,0,0,116316,"StreamRiver",0,0,895.56,74.81,902.0143,46,13.07,14.47,15.4,"Mannering Creek"
"33","Rocky Mountain Tailed Frog","Mature","NA",7,2003,"IDFG 2022",NA,46.082009,-115.443243,0,-9999,0.13722,0,0,0,104701,"StreamRiver",0,0,525.7,53.53,869.2003,68,14.36,16.05,17.26,"Boyd Creek"
"34","Rocky Mountain Tailed Frog","Mature","NA",8,2003,"IDFG 2022",NA,44.743934,-115.67857,0,-9999,0.19687,0,0,0,107732,"StreamRiver",0,0,1565.89,6.92,934.18,69,11.16,12.44,13.27,"Roaring Creek"
"35","Rocky Mountain Tailed Frog","Larva","NA",8,2003,"IDFG 2022",NA,44.743934,-115.67857,0,-9999,0.19687,0,0,0,107732,"StreamRiver",0,0,1565.89,6.92,934.18,69,11.16,12.44,13.27,"Roaring Creek"
"36","Rocky Mountain Tailed Frog","Mature","NA",8,2003,"IDFG 2022",NA,44.778865,-115.542972,0,-9999,0.09235,0,0,0,108353,"StreamRiver",0,0,1768.57,58.85,1010.378,70,10.2,11.45,12.27,"Halfway Creek"
"37","Rocky Mountain Tailed Frog","Mature","NA",8,2003,"IDFG 2022",NA,44.760166,-115.553854,0,-9999,0.07015,0,0,0,107916,"StreamRiver",0,0,1865.24,75.43,1063.613,70,10.04,11.29,12.1,"Rustican Creek"
"38","Rocky Mountain Tailed Frog","Larva","NA",8,2003,"IDFG 2022",NA,44.760166,-115.553854,0,-9999,0.07015,0,0,0,107916,"StreamRiver",0,0,1865.24,75.43,1063.613,70,10.04,11.29,12.1,"Rustican Creek"
"39","Rocky Mountain Tailed Frog","Mature","NA",8,2003,"IDFG 2022",NA,44.685353,-115.546983,0,-9999,0.03749,0,0,0,106621,"StreamRiver",0,0,2028.16,28.48,1210.882,71,11.24,12.52,13.35,"Lunch Creek"
"40","Rocky Mountain Tailed Frog","Larva","NA",8,2003,"IDFG 2022",NA,45.237018,-116.134848,0,-9999,0.18707,0,0,0,114931,"StreamRiver",0,0,2185.54,31.6,1427.927,63,8.11,9.31,10.08,"Big Dave Creek"
"41","Rocky Mountain Tailed Frog","Larva","NA",8,2003,"IDFG 2022",NA,45.230529,-116.141793,0,-9999,0.03428,0,0,0,114738,"StreamRiver",0,0,2059.04,41.53,1469.58,63,17.3,18.75,19.69,NA
"42","Rocky Mountain Tailed Frog","Mature","NA",8,2003,"IDFG 2022",NA,45.182704,-116.180112,0,-9999,0.08794,0,0,0,114184,"StreamRiver",0,0,2089.47,8.73,1287.956,63,9.19,10.42,11.22,"Vance Creek"
"43","Rocky Mountain Tailed Frog","Larva","NA",8,2003,"IDFG 2022",NA,44.978102,-115.976871,0,-9999,0.07604,0,0,0,159282,"StreamRiver",0,0,2240.5,3.36,1323.486,63,9.08,10.14,10.81,"Fall Creek"
"44","Rocky Mountain Tailed Frog","Larva","NA",8,2003,"IDFG 2022",NA,45.100014,-116.036019,0,-9999,0.04244,0,0,0,160661,"StreamRiver",0,0,1649.41,58.64,1130.43,62,15.05,16.26,17.03,"North Fork Payette River"
"45","Rocky Mountain Tailed Frog","Mature","NA",8,2003,"IDFG 2022",NA,45.100014,-116.036019,0,-9999,0.04244,0,0,0,160661,"StreamRiver",0,0,1649.41,58.64,1130.43,62,15.05,16.26,17.03,"North Fork Payette River"
"46","Rocky Mountain Tailed Frog","Larva","NA",6,2003,"IDFG 2022",NA,47.029525,-116.696163,0,0,0.048,0,0,0,116340,"StreamRiver",0,0,893.77,84.2,906.1741,46,12.27,13.66,14.58,"Blakes Fork"
"47","Rocky Mountain Tailed Frog","Mature","NA",6,2003,"IDFG 2022",NA,47.029525,-116.696163,0,0,0.048,0,0,0,116340,"StreamRiver",0,0,893.77,84.2,906.1741,46,12.27,13.66,14.58,"Blakes Fork"
"48","Rocky Mountain Tailed Frog","Larva","NA",6,2003,"IDFG 2022",NA,46.312018,-115.365531,0,-9999,0.16704,0,0,0,108154,"StreamRiver",0,0,600.92,11.04,1124.18,66,14.2,15.88,17.09,"Otter Slide Creek"
"49","Rocky Mountain Tailed Frog","Larva","NA",6,2003,"IDFG 2022",NA,46.280621,-115.392482,0,-9999,0.27458,0,0,0,107619,"StreamRiver",0,0,788.73,52.02,1176.027,65,12.54,14.15,15.32,"Wild Horse Creek"
"50","Rocky Mountain Tailed Frog","Mature","NA",6,2003,"IDFG 2022",NA,46.280621,-115.392482,0,-9999,0.27458,0,0,0,107619,"StreamRiver",0,0,788.73,52.02,1176.027,65,12.54,14.15,15.32,"Wild Horse Creek"
"51","Rocky Mountain Tailed Frog","Larva","NA",6,2003,"IDFG 2022",NA,46.481348,-115.090944,0,-9999,0.14718,0,0,0,110514,"StreamRiver",0,0,1329.24,75.57,1440.83,69,9.53,11.02,12.1,NA
"52","Rocky Mountain Tailed Frog","Mature","NA",6,2003,"IDFG 2022",NA,46.481348,-115.090944,0,-9999,0.14718,0,0,0,110514,"StreamRiver",0,0,1329.24,75.57,1440.83,69,9.53,11.02,12.1,NA
"53","Rocky Mountain Tailed Frog","Mature","NA",6,2003,"IDFG 2022",NA,46.451494,-115.080914,0,-9999,0.00461,0,0,0,109804,"StreamRiver",0,0,834.18,20.52,1236.93,69,16.97,18.76,20.06,"Lochsa River"
"54","Rocky Mountain Tailed Frog","Larva","NA",6,2003,"IDFG 2022",NA,46.533466,-114.870439,0,-9999,0.03144,0,0,0,110901,"StreamRiver",0,0,1099.53,83.52,973.9268,69,10.45,11.98,13.08,"Waw'aalamnime Creek"
"55","Rocky Mountain Tailed Frog","Mature","NA",6,2003,"IDFG 2022",NA,46.533466,-114.870439,0,-9999,0.03144,0,0,0,110901,"StreamRiver",0,0,1099.53,83.52,973.9268,69,10.45,11.98,13.08,"Waw'aalamnime Creek"
"56","Rocky Mountain Tailed Frog","Larva","NA",6,2003,"IDFG 2022",NA,46.554221,-114.665047,0,-9999,0.01581,0,0,0,111166,"StreamRiver",0,0,1118.24,70.98,1108.578,69,13.74,15.4,16.6,"Crooked Fork"
"57","Rocky Mountain Tailed Frog","Mature","NA",6,2003,"IDFG 2022",NA,46.554221,-114.665047,0,-9999,0.01581,0,0,0,111166,"StreamRiver",0,0,1118.24,70.98,1108.578,69,13.74,15.4,16.6,"Crooked Fork"
"58","Rocky Mountain Tailed Frog","Larva","NA",6,2003,"IDFG 2022",NA,46.223288,-115.529643,0,-9999,0.09621,0,0,0,107513,"StreamRiver",0,0,493.33,54.1,1042.977,65,13.91,15.58,16.78,"Glade Creek"
"59","Rocky Mountain Tailed Frog","Mature","NA",6,2003,"IDFG 2022",NA,46.223288,-115.529643,0,-9999,0.09621,0,0,0,107513,"StreamRiver",0,0,493.33,54.1,1042.977,65,13.91,15.58,16.78,"Glade Creek"
"60","Rocky Mountain Tailed Frog","Larva","NA",7,2003,"IDFG 2022",NA,47.071011,-115.353535,0,-9999,0.00784,0,0,0,114817,"StreamRiver",0,0,1107.96,71.2,1182.451,71,12.87,14.2,15.17,"Saint Joe River"
"61","Rocky Mountain Tailed Frog","Mature","NA",7,2003,"IDFG 2022",NA,47.071011,-115.353535,0,-9999,0.00784,0,0,0,114817,"StreamRiver",0,0,1107.96,71.2,1182.451,71,12.87,14.2,15.17,"Saint Joe River"
"62","Rocky Mountain Tailed Frog","Larva","NA",7,2003,"IDFG 2022",NA,47.107379,-115.389467,0,-9999,0.04331,0,0,0,115627,"StreamRiver",0,0,1107.42,54.52,1132.03,69,11.26,12.53,13.45,"Fly Creek"
"63","Rocky Mountain Tailed Frog","Mature","NA",7,2003,"IDFG 2022",NA,47.107379,-115.389467,0,-9999,0.04331,0,0,0,115627,"StreamRiver",0,0,1107.42,54.52,1132.03,69,11.26,12.53,13.45,"Fly Creek"
"64","Rocky Mountain Tailed Frog","Larva","NA",7,2003,"IDFG 2022",NA,47.180474,-115.37286,0,-9999,0.022,0,0,0,117588,"StreamRiver",0,0,1100.69,29.36,1100.499,70,10.93,12.18,13.1,"Gold Creek"
"65","Rocky Mountain Tailed Frog","Mature","NA",7,2003,"IDFG 2022",NA,47.207258,-115.511841,0,-9999,0.03288,0,0,0,118458,"StreamRiver",0,0,921.77,71.76,1023.221,69,11.32,12.59,13.51,"Quartz Creek"
"66","Rocky Mountain Tailed Frog","Mature","NA",7,2003,"IDFG 2022",NA,47.174852,-115.862374,0,-9999,0.04311,0,0,0,117224,"StreamRiver",0,0,1015.35,19.48,1143.337,67,12.54,13.86,14.82,"Lick Creek"
"67","Rocky Mountain Tailed Frog","Larva","NA",7,2003,"IDFG 2022",NA,47.174852,-115.862374,0,-9999,0.04311,0,0,0,117224,"StreamRiver",0,0,1015.35,19.48,1143.337,67,12.54,13.86,14.82,"Lick Creek"
"68","Rocky Mountain Tailed Frog","Mature","NA",8,2007,"IDFG 2022",NA,48.971192,-116.143267,0,-9999,0.18696,0,0,0,152699,"StreamRiver",0,0,1103.07,91.03,758.8859,67,9.81,11.02,11.9,"Copper Creek"
"69","Rocky Mountain Tailed Frog","Mature","NA",9,2007,"IDFG 2022",NA,47.758457,-116.105048,0,-9999,0.11062,0,0,0,129955,"StreamRiver",0,0,1024.27,63.94,1201.965,65,8.94,10.12,10.97,"Yellow Dog Creek"
"70","Rocky Mountain Tailed Frog","Larva","NA",7,2007,"IDFG 2022",NA,45.632969,-116.010509,0,-9999,0.10733,0,0,0,120059,"StreamRiver",0,0,1567.2,87.19,949.901,66,10.43,11.69,12.51,"Slate Creek"
"71","Rocky Mountain Tailed Frog","Larva","NA",8,2007,"IDFG 2022",NA,46.631499,-114.34035,0,-9999,0.0315,0,0,0,112102,"StreamRiver",0,0,1933.25,58.65,1725.17,70,9.06,10.53,11.59,"Brushy Fork"
"72","Rocky Mountain Tailed Frog","Mature","NA",8,2007,"IDFG 2022",NA,48.302819,-116.273811,0,-9999,0.02756,0,0,0,140809,"StreamRiver",0,0,888.93,80.68,1483.226,69,10.01,11.23,12.11,"Trestle Creek"
"73","Rocky Mountain Tailed Frog","Mature","NA",9,2007,"IDFG 2022",NA,47.759968,-116.106366,0,-9999,0.15849,0,0,0,130066,"StreamRiver",0,0,1125.99,46.51,1209.547,65,8.64,9.81,10.65,NA
"74","Rocky Mountain Tailed Frog","Larva","NA",7,2007,"IDFG 2022",NA,46.420522,-114.759274,0,-9999,0.06768,0,0,0,109281,"StreamRiver",0,0,1787.29,74.36,1487.131,68,10.02,11.53,12.62,"Tom Beal Creek"
"75","Rocky Mountain Tailed Frog","Unknown","NA",9,2014,"IDFG 2022",NA,45.114873,-116.453519,0,-9999,0.2153,0,0,0,113287,"StreamRiver",0,0,1655.01,76.16,1101.402,62,8.3,9.5,10.28,NA
"76","Rocky Mountain Tailed Frog","Larva","NA",4,2015,"IDFG 2022",NA,46.861954,-115.622975,0,-9999,0.03253,0,0,0,115047,"StreamRiver",0,0,574.9,80.52,1013.899,67,13.36,15.01,16.19,"Isabella Creek"
"77","Rocky Mountain Tailed Frog","Larva","NA",4,2015,"IDFG 2022",NA,46.861954,-115.622975,0,-9999,0.03253,0,0,0,115047,"StreamRiver",0,0,574.9,80.52,1013.899,67,13.36,15.01,16.19,"Isabella Creek"
"78","Rocky Mountain Tailed Frog","Larva","NA",4,2015,"IDFG 2022",NA,46.861954,-115.622975,0,-9999,0.03253,0,0,0,115047,"StreamRiver",0,0,574.9,80.52,1013.899,67,13.36,15.01,16.19,"Isabella Creek"
"79","Rocky Mountain Tailed Frog","Larva","NA",4,2015,"IDFG 2022",NA,46.861954,-115.622975,0,-9999,0.03253,0,0,0,115047,"StreamRiver",0,0,574.9,80.52,1013.899,67,13.36,15.01,16.19,"Isabella Creek"
"80","Rocky Mountain Tailed Frog","Larva","NA",4,2015,"IDFG 2022",NA,46.861954,-115.622975,0,-9999,0.03253,0,0,0,115047,"StreamRiver",0,0,574.9,80.52,1013.899,67,13.36,15.01,16.19,"Isabella Creek"
"81","Rocky Mountain Tailed Frog","Larva","NA",4,2015,"IDFG 2022",NA,46.836589,-115.629945,0,-9999,0.03954,0,0,0,114684,"StreamRiver",0,0,547.74,66.9,1065.475,67,13.83,15.5,16.7,"Beaver Creek"
"82","Rocky Mountain Tailed Frog","Larva","NA",4,2015,"IDFG 2022",NA,46.721318,-115.298579,0,-9999,0.0614,0,0,0,113497,"StreamRiver",0,0,874.57,63.11,1470.029,68,11.87,13.46,14.6,"Cold Springs Creek"
"83","Rocky Mountain Tailed Frog","Larva","NA",4,2015,"IDFG 2022",NA,46.721318,-115.298579,0,-9999,0.0614,0,0,0,113497,"StreamRiver",0,0,874.57,63.11,1470.029,68,11.87,13.46,14.6,"Cold Springs Creek"
"84","Rocky Mountain Tailed Frog","Unknown","NA",10,2011,"IDFG 2022",NA,47.468819,-116.660227,0,-9999,0,0,0,0,124684,"ArtificialPath",0,0,650.06,0,634.7936,60,19.36,20.96,22.12,"Coeur d'Alene River"
"85","Rocky Mountain Tailed Frog","Unknown","NA",8,2015,"IDFG 2022",NA,44.102672,-114.767438,0,-9999,0.07082,0,0,0,101114,"StreamRiver",0,0,2388.25,6.67,847.9286,75,7.17,8.34,9.1,NA
"86","Rocky Mountain Tailed Frog","Unknown","NA",7,2011,"IDFG 2022",NA,44.520155,-115.361148,0,-9999,0.21264,0,0,0,105099,"StreamRiver",0,0,1950.23,88.24,853.4089,74,9.08,10.31,11.1,NA
"87","Rocky Mountain Tailed Frog","Unknown","NA",6,2016,"IDFG 2022",NA,44.539352,-115.313539,0,-9999,0.01651,0,0,0,105164,"StreamRiver",0,0,1727.11,75.76,787.12,75,12.39,13.7,14.55,NA
"88","Rocky Mountain Tailed Frog","Unknown","NA",6,2016,"IDFG 2022",NA,44.48194,-115.296436,0,-9999,0.10935,0,0,0,104563,"StreamRiver",0,0,2181.78,79.1,946.3657,75,8.9,10.12,10.91,NA
"89","Rocky Mountain Tailed Frog","Unknown","NA",6,2016,"IDFG 2022",NA,44.584931,-115.2822,0,-9999,0.30537,0,0,0,105727,"StreamRiver",0,0,2136.35,72.58,888.3267,75,7.88,9.07,9.85,NA
"90","Rocky Mountain Tailed Frog","Unknown","NA",6,2016,"IDFG 2022",NA,44.499968,-115.344945,0,-9999,0.1057,0,0,0,104809,"StreamRiver",0,0,1968.97,14.22,1033.766,74,9.97,11.22,12.03,NA
"91","Rocky Mountain Tailed Frog","Unknown","NA",7,2013,"IDFG 2022",NA,44.581383,-115.229095,0,-9999,0.12173,0,0,0,105546,"StreamRiver",0,0,2024.9,79.36,1023.823,75,9.04,10.26,11.06,"Thicket Creek"
"92","Rocky Mountain Tailed Frog","Unknown","NA",7,2016,"IDFG 2022",NA,46.460469,-115.544359,0,-9999,0.05412,0,0,0,109609,"StreamRiver",0,0,1459.97,57.07,1887.473,66,10.08,11.6,12.69,"Middle Creek"
"93","Rocky Mountain Tailed Frog","Unknown","NA",9,2016,"IDFG 2022",NA,44.418188,-114.481417,0,-9999,0.09943,0,0,0,103929,"StreamRiver",0,0,2210.03,73.24,690.1061,76,8.31,9.52,10.3,"Aspen Creek"
"94","Rocky Mountain Tailed Frog","Unknown","NA",8,2011,"IDFG 2022",NA,46.437542,-115.065744,0,-9999,0.14484,0,0,0,109433,"StreamRiver",0,0,1174.78,92.04,1243.714,68,10.91,12.45,13.57,"Indian Meadow Creek"
"95","Rocky Mountain Tailed Frog","Unknown","NA",4,2017,"IDFG 2022",NA,45.019231,-114.804865,0,-9999,0.10522,0,0,0,111630,"StreamRiver",0,0,1757.81,75.09,823.6844,76,9.42,10.65,11.45,"Soldier Creek"
"96","Rocky Mountain Tailed Frog","Unknown","NA",4,2017,"IDFG 2022",NA,45.151883,-114.889231,0,-9999,0.1751,0,0,0,113503,"StreamRiver",0,0,1807.9,62.37,726.2055,76,9.14,10.37,11.17,"Calf Creek"
"97","Rocky Mountain Tailed Frog","Unknown","NA",4,2017,"IDFG 2022",NA,45.129987,-114.95148,0,-9999,0.0045,0,0,0,113211,"StreamRiver",0,0,1213.35,38.24,415.4716,74,15.24,16.63,17.53,"Big Creek"
"98","Rocky Mountain Tailed Frog","Unknown","NA",7,2017,"IDFG 2022",NA,44.573399,-115.285928,0,-9999,0.23712,0,0,0,105631,"StreamRiver",0,0,2170.67,75.49,940.1945,75,8.35,9.55,10.33,NA
"99","Rocky Mountain Tailed Frog","Unknown","NA",7,2017,"IDFG 2022",NA,45.035269,-114.426117,0,-9999,0.06108,0,0,0,111971,"StreamRiver",0,0,2059.61,70.22,809.0922,77,8.69,9.9,10.69,"South Fork Porphyry Creek"
"100","Rocky Mountain Tailed Frog","Larva","NA",7,2013,"IDFG 2022",NA,47.110279,-116.068294,0,-9999,0.02769,0,0,0,115930,"StreamRiver",0,0,1049.3,59.89,1197.97,62,11.88,13.17,14.11,"Marble Creek"
"101","Rocky Mountain Tailed Frog","Larva","NA",8,2013,"IDFG 2022",NA,47.414023,-116.107425,0,-9999,0.10757,0,0,0,123313,"StreamRiver",0,0,1161.71,19.19,1350.5,66,11.15,12.42,13.34,"Middle Fork Big Creek"
"102","Rocky Mountain Tailed Frog","Mixed","NA",7,2013,"IDFG 2022",NA,47.124141,-116.255878,0,-9999,0.09169,0,0,0,116492,"StreamRiver",0,0,1265.21,85.48,1222.856,59,10.12,11.34,12.23,NA
"103","Rocky Mountain Tailed Frog","Larva","NA",7,2013,"IDFG 2022",NA,47.203845,-115.965895,0,-9999,0.03169,0,0,0,118185,"StreamRiver",0,0,978.07,61.98,1229.93,67,12.08,13.38,14.33,"Boulder Creek"
"104","Rocky Mountain Tailed Frog","Mixed","NA",7,2013,"IDFG 2022",NA,47.203845,-115.965895,0,-9999,0.03169,0,0,0,118185,"StreamRiver",0,0,978.07,61.98,1229.93,67,12.08,13.38,14.33,"Boulder Creek"
"105","Rocky Mountain Tailed Frog","Larva","NA",6,2013,"IDFG 2022",NA,47.684135,-116.09832,0,-9999,0.11068,0,0,0,128840,"StreamRiver",0,0,875.3,44.06,1117.992,65,10.75,12,12.9,"Grizzly Creek"
"106","Rocky Mountain Tailed Frog","Mixed","NA",6,2013,"IDFG 2022",NA,47.684135,-116.09832,0,-9999,0.11068,0,0,0,128840,"StreamRiver",0,0,875.3,44.06,1117.992,65,10.75,12,12.9,"Grizzly Creek"
"107","Rocky Mountain Tailed Frog","Egg","NA",7,2013,"IDFG 2022",NA,47.110279,-116.068294,0,-9999,0.02769,0,0,0,115930,"StreamRiver",0,0,1049.3,59.89,1197.97,62,11.88,13.17,14.11,"Marble Creek"
"108","Rocky Mountain Tailed Frog","Larva","NA",6,2013,"IDFG 2022",NA,47.797018,-116.11233,0,-9999,0.02788,0,0,0,130940,"StreamRiver",0,0,908.09,39.75,1066.369,65,11.35,12.63,13.55,"Flat Creek"
"109","Rocky Mountain Tailed Frog","Larva","NA",8,2013,"IDFG 2022",NA,47.414023,-116.107425,0,-9999,0.10757,0,0,0,123313,"StreamRiver",0,0,1161.71,19.19,1350.5,66,11.15,12.42,13.34,"Middle Fork Big Creek"
"110","Rocky Mountain Tailed Frog","Egg","NA",8,2013,"IDFG 2022",NA,48.582119,-116.238521,0,-9999,0.07486,0,0,0,146821,"StreamRiver",0,0,1241.97,84.67,895.7226,66,11.43,12.71,13.63,NA
"111","Rocky Mountain Tailed Frog","Egg","NA",8,2013,"IDFG 2022",NA,48.557469,-116.229096,0,-9999,0.01489,0,0,0,145780,"StreamRiver",0,0,1190.25,63.32,994.3436,66,12.98,14.32,15.29,NA
"112","Rocky Mountain Tailed Frog","Larva","NA",6,2013,"IDFG 2022",NA,47.932866,-116.217293,0,-9999,0.02501,0,0,0,134320,"StreamRiver",0,0,998.11,58.73,1192.974,66,10.34,11.58,12.47,NA
